
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444427208468 ;MG ;BANDEIRA DO SUL ;CENTRO ; AVENIDA JUSCELINO KUBITSCHEK DE OLIVEIRA, N. 226, 7B ;129.732,52;190.000,00;31.72;Casa, 40.05 de área total, 40.05 de área privativa, 474.89 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427208468
 1444411495219 ;MG ;BARBACENA ;VALENTIM PRENASSI ;RUA FRANCISCO VITAL GOMES, N. 343, PARTE LT 15 QD 13 ;261.000,00;250.000,00;0.00;Casa, 45.63 de área total, 45.63 de área privativa, 160.49 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444411495219
 10173671 ;MG ;BELO HORIZONTE ;BARRO PRETO ;RUA PARACATU, N. 143, SL 602, QD 33, LT 16 ;251.719,56;485.000,00;48.10;Sala, 0.00 de área total, 92.98 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10173671
 1555531074050 ;MG ;BELO HORIZONTE ;SANTO ANTONIO ;AVENIDA PRUDENTE DE MORAIS, N. 621, SL 801 ;512.878,68;870.000,00;41.05;Comercial, 0.00 de área total, 64.00 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555531074050
 8555533245730 ;MG ;BELO HORIZONTE ;CAMARGOS ;RUA ZIRCONIO, N. 510, Apto 302, BL 19, LT 01 QD 57 ;104.889,24;177.000,00;40.75;Apartamento, 57.69 de área total, 46.65 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555533245730
 8787712788836 ;MG ;BELO HORIZONTE ;MONTE AZUL ;RUA PADRE ARGEMIRO MOREIRA, N. 11567, Apto 302, AP 302, BL 03 ;108.444,81;183.000,00;40.75;Apartamento, 62.28 de área total, 46.01 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712788836
 10213382 ;MG ;BELO HORIZONTE ;SAVASSI ;RUA TOMÉ DE SOUZA, N. 860, SL 1604 ;106.667,03;180.000,00;40.75;Sala, 0.00 de área total, 31.98 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10213382
 10213384 ;MG ;BELO HORIZONTE ;SAVASSI ;RUA TOMÉ DE SOUZA, N. 860, SL 1602 ;106.667,03;180.000,00;40.75;Sala, 0.00 de área total, 31.98 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10213384
 10213385 ;MG ;BELO HORIZONTE ;SAVASSI ;RUA TOMÉ DE SOUZA, N. 860, SL 1603 ;106.667,03;180.000,00;40.75;Sala, 0.00 de área total, 31.98 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10213385
 8444408346206 ;MG ;BELO HORIZONTE ;CALIFORNIA ;RUA CHRISTINA MARIA ASSIS, N. 603, Apto 404, BL 05 ;82.182,47;136.000,00;39.58;Apartamento, 81.90 de área total, 44.32 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408346206
 8787710471371 ;MG ;BELO HORIZONTE ;MONTE AZUL ;RUA PADRE ARGEMIRO MOREIRA, N. 11300, Apto 103, BL 5 ;111.816,50;185.000,00;39.56;Apartamento, 43.33 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710471371
 8787715955580 ;MG ;BELO HORIZONTE ;MONTE AZUL ;RUA 4248, N. 700, Apto 301, 3 PAV, BL 10,  43102 ;114.838,57;190.000,00;39.56;Apartamento, 52.51 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787715955580
 8787709174873 ;MG ;BELO HORIZONTE ;JULIANA ;RUA ALVA, N. 200, Apto 304, BL 01 ;120.882,70;200.000,00;39.56;Apartamento, 77.51 de área total, 44.66 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709174873
 10213387 ;MG ;BELO HORIZONTE ;SAVASSI ;RUA TOMÉ DE SOUZA, N. 860, SL 1601 ;120.882,70;200.000,00;39.56;Sala, 0.00 de área total, 36.94 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10213387
 10208103 ;MG ;BELO HORIZONTE ;CENTRO ;RUA CURITIBA, N. 786, SL 501 ;502.089,69;820.000,00;38.77;Sala, 0.00 de área total, 308.55 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10208103
 1444400048020 ;MG ;BELO HORIZONTE ;CARLOS PRATES ;RUA ESPINOSA, N. 312, Apto 102, ;138.473,13;220.000,00;37.06;Apartamento, 0.00 de área total, 71.75 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400048020
 1444404402219 ;MG ;BELO HORIZONTE ;NOSSA SENHORA DO ROSARIO ;RUA GLYCON TERRA PINTO, N. SN, QUARTEIRÃO Nº 7 ;127.772,93;203.000,00;37.06;Terreno, 0.00 de área total, 0.00 de área privativa, 264.27 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404402219
 1444405156416 ;MG ;BELO HORIZONTE ;RESPLENDOR ;RUA JOSE DOS SANTOS LAGE, N. 635, Apto 04, BL B-12 ;163.152,46;256.000,00;36.27;Apartamento, 75.62 de área total, 75.62 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405156416
 1555529847820 ;MG ;BELO HORIZONTE ;CASTELO ;PRACA JORNALISTA CICI SANTOS, N. 17, Apto 804, BL 01 ;248.552,58;390.000,00;36.27;Apartamento, 0.00 de área total, 62.64 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555529847820
 1555530702805 ;MG ;BELO HORIZONTE ;BARRO PRETO ;RUA PARACATU, N. 1477, Apto 102, LT 08 QD 20 ;623.357,12;978.100,00;36.27;Apartamento, 136.00 de área total, 136.00 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555530702805
 1555518982461 ;MG ;BELO HORIZONTE ;ESTORIL ;RUA GUAMA, N. 16, Apto 304, BL 07 - VG 43D ;256.200,35;402.000,00;36.27;Apartamento, 160.20 de área total, 85.47 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555518982461
 1555516430623 ;MG ;BELO HORIZONTE ;SANTA MONICA ;RUA DOS BOROROS, N. 105, Apto 302, AP 302, BL 01 ;176.536,06;277.000,00;36.27;Apartamento, 91.69 de área total, 53.72 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555516430623
 1444402845695 ;MG ;BELO HORIZONTE ;SERRA ;RUA DOUTOR ALIPIO GOULART, N. 76, LT 06 QD 1K ;764.777,16;1.200.000,00;36.27;Casa, 0.00 de área total, 273.00 de área privativa, 400.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 2 sala(s), 2 lavabo(s), cozinha, 3 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402845695
 1555509841389 ;MG ;BELO HORIZONTE ;CINQUENTENARIO ;RUA JULIO DE CASTILHO, N. 707, LT 15 QD1 ;427.637,90;671.000,00;36.27;Comercial, 261.06 de área total, 261.06 de área privativa, 300.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555509841389
 8787714207733 ;MG ;BELO HORIZONTE ;MARIA TERESA ;RUA QUATRO MIL DUZENTOS E QUARENTA E OIT, N. 701, Apto 504, BLOCO 06 ;132.533,45;178.000,00;25.55;Apartamento, 52.53 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787714207733
 8787711279210 ;MG ;BELO HORIZONTE ;VITORIA ;RUA DOS BORGES, N. 1050, Apto 502, BL 03 ;155.060,51;202.000,00;23.24;Apartamento, 67.30 de área total, 47.27 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711279210
 8787710177082 ;MG ;BELO HORIZONTE ;MONTE AZUL ; RUA PADRE ARGEMIRO MOREIRA, N. 11481, Apto 201,  BLOCO 7 ;130.197,63;168.000,00;22.51;Apartamento, 52.51 de área total, 43.33 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710177082
 8787715803879 ;MG ;BELO HORIZONTE ;SAO GABRIEL ;RUA PADRE ARGEMIRO MOREIRA, N. 700, Apto 304, BLOCO 09 ;123.709,29;150.000,00;17.53;Apartamento, 52.51 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787715803879
 8787714717405 ;MG ;BELO HORIZONTE ;MARIA TERESA ;RUA QUATRO MIL DUZENTOS E QUARENTA E OIT, N. 701, Apto 502, BLOCO 05 ;148.979,94;170.000,00;12.37;Apartamento, 52.53 de área total, 43.33 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787714717405
 8787715831180 ;MG ;BELO HORIZONTE ;MARIA TERESA ; R QUATRO MIL DUZENTOS E QUARENTA E OITO, N. 700, Apto 404, BLOCO 09 ;159.844,23;175.000,00;8.67;Apartamento, 52.51 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787715831180
 8787716014061 ;MG ;BELO HORIZONTE ;MARIA TERESA ;RUA QUATRO MIL DUZENTOS E QUARENTA E OIT, N. 700, Apto 302, BLOCO 04 ;163.982,10;170.000,00;3.54;Apartamento, 52.51 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787716014061
 8444414044321 ;MG ;BELO HORIZONTE ;São João Batista ;RUA JOSE SANGUINETE, N. 137, CS 135 BL 03 ;146.000,00;146.000,00;0.00;Casa, 54.46 de área total, 41.40 de área privativa, 54.46 de área do terreno,  2 qto(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414044321
