
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444407001353 ;RS ;ALVORADA ;MARIA REGINA ;RUA 30, N. 190, Apto 402, LT 05, QD 57 ;53.392,16;100.000,00;46.61;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407001353
 8444407702440 ;RS ;ALVORADA ;TIJUCA ;RUA VINTE E SETE, N. 63, Apto 203, Atual Dezesseis Unidos ;51.526,57;96.000,00;46.33;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407702440
 8444413862110 ;RS ;ALVORADA ;UMBU ;RUA DEZ, N. 501, CS 02 LT 31 QD N1 ;80.082,56;147.000,00;45.53;Casa, 0.00 de área total, 49.00 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413862110
 8444406760242 ;RS ;ALVORADA ;JARDIM ALGARVE ;RUA PAPA JOAO PAULO II, N. 541, LT 39 QD A-68 ;92.234,14;168.750,00;45.35;Casa, 0.00 de área total, 38.19 de área privativa, 175.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406760242
 8444400947197 ;RS ;ALVORADA ;MARIA REGINA ;RUA DEZESSEIS UNIDOS (ANTIGA 27), N. 126, Apto 302, PAV 03 ;35.765,93;65.000,00;44.98;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400947197
 8444421177307 ;RS ;ALVORADA ;JARDIM ALGARVE ;RUA CENTO E QUARENTA E QUATRO, N. 189, Apto 202, LT 54  QD E23 ;86.605,94;155.000,00;44.13;Apartamento, 0.00 de área total, 41.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421177307
 8444421709953 ;RS ;ALVORADA ;UMBU ;RUA BANDEIRANTE, N. 25, Apto 1, LT 03 QD O1 ;73.490,23;130.000,00;43.47;Apartamento, 0.00 de área total, 41.50 de área privativa, 0.01 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421709953
 8444426084641 ;RS ;ALVORADA ;FORMOZA ;RUA FERNANDO FERRARI, N. 1042, Apto 101, LT 06 QD 3 LOT VILA DUAS FIGUEIRAS ;71.654,14;125.000,00;42.68;Apartamento, 40.10 de área total, 38.76 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426084641
 8555526279675 ;RS ;ALVORADA ;TERRA NOVA ;RUA 01 - COM ENTRADA PELO Nº, N. 601, CS 620 ;121.663,30;210.600,00;42.24;Casa, 0.00 de área total, 51.46 de área privativa, 86.02 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555526279675
 8444426817460 ;RS ;ALVORADA ;ALVORADA ; RUA MARIA DE LOURDES DA SILVA, N. 121, Apto 103, QD A-15 LT 44 ;57.891,78;100.000,00;42.11;Apartamento, 36.85 de área total, 31.00 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426817460
