
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555526252809 ;AC ;RIO BRANCO ;PARQUE DOS SABIAS ;RUA PALERMO, N. 49, QD02 CS49 ;381.000,00;381.000,00;0.00;Casa, 0.00 de área total, 70.85 de área privativa, 149.80 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555526252809
 1444405651913 ;AC ;RIO BRANCO ;CONJUNTO OURICURI ;RUA EMA, N. SN, LT 11 QD 38A ;314.000,00;314.000,00;0.00;Casa, 200.00 de área total, 98.95 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405651913
 1444411609940 ;AC ;RIO BRANCO ;LOTEAMENTO JAGUAR ;RUA PINTASSILGO, N. SN, QD15 LT29 ;379.000,00;379.000,00;0.00;Casa, 115.93 de área total, 115.93 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444411609940
 1444403673405 ;AC ;RIO BRANCO ;AMAPA ; RUA ANTONIO RIBEIRO, N. 171, QD. 29 LOTE 01 ;151.000,00;151.000,00;0.00;Casa, 108.29 de área total, 108.29 de área privativa, 375.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403673405
 1444408677620 ;AC ;RIO BRANCO ;JOAO EDUARDO II ;TRAVESSA MAUA, N. 47, ;335.000,00;335.000,00;0.00;Casa, 193.03 de área total, 193.03 de área privativa, 358.14 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 3 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408677620
 8444410362442 ;AC ;RIO BRANCO ;MOCINHA MAGALHAES ;RUA DA PITANGA, N. 317, ;259.000,00;259.000,00;0.00;Casa, 143.95 de área total, 143.95 de área privativa, 283.80 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410362442
 1555506702426 ;AC ;RIO BRANCO ;LOTEAMENTO NOVO HORIZONTE ;AVENIDA ANTONIO DA ROCHA VIANA, N. SN, LT10 QD 17 ;310.000,00;310.000,00;0.00;Casa, 169.53 de área total, 169.53 de área privativa, 350.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555506702426
 1555537661020 ;AC ;RIO BRANCO ;NOVA ESTACAO ;RUA BELEM, N. 754, ;347.827,88;325.000,00;0.00;Casa, 0.00 de área total, 175.42 de área privativa, 290.27 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555537661020
 1444400373710 ;AC ;RIO BRANCO ;HABITASA ;RUA PERU, N. 24, QDF LT24 ;297.129,22;242.000,00;0.00;Casa, 140.78 de área total, 233.18 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400373710
 1444406574874 ;AC ;RIO BRANCO ;BOSQUE ;AVENIDA NACOES UNIDAS, N. SN, LT NO/11/01/1/62 ;383.811,19;306.000,00;0.00;Casa, 89.90 de área total, 64.00 de área privativa, 170.50 de área do terreno, a.serv.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406574874
 8555516467800 ;AC ;RIO BRANCO ;VILA DA AMIZADE ;TRAVESSA ABACABEIRA, N. 50, ;271.739,65;52.000,00;0.00;Casa, 0.00 de área total, 65.00 de área privativa, 132.15 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555516467800
