
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787711148728 ;SP ;AMERICANA ;JARDIM NOVA ALIANCA ;RUA VITOR BATISTA LOPES, N. 157, LT 18 QD C ;150.933,06;246.500,00;38.77;Casa, 51.12 de área total, 51.12 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711148728
 8444410024580 ;SP ;AMERICANA ;JARDIM SANTA ELIZA ;AVENIDA ANTONIO CENTURIONE BOER, N. 1518, Apto 802, BLOCO 08, VG N 169 ;124.625,81;198.000,00;37.06;Apartamento, 56.26 de área total, 50.73 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410024580
 1444418595120 ;SP ;AMERICANA ;MORADA DO SOL ;RUA JAPAO, N. 1245, ;672.695,35;1.055.515,86;36.27;Casa, 276.66 de área total, 276.66 de área privativa, 452.94 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418595120
 1444412467570 ;SP ;AMERICANA ;RESIDENCIAL PRAIA DOS NAMORADOS ;RUA BENEDITO COLLA (ANTIGA RUA 08), N. 181, LT 09 QD E ;658.982,99;1.034.000,00;36.27;Casa, 222.66 de área total, 222.66 de área privativa, 1000.00 de área do terreno,  4 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444412467570
 8787707863370 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 103, GL. A3B, BL. 16 ;150.949,50;178.900,00;15.63;Apartamento, 38.92 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707863370
 8787707752756 ;SP ;AMERICANA ;FAZ SAO DOMINGOS ;AVENIDA SAO JERONIMO, N. 2750, Apto 108, BL 27 GL A3B VG 606 ;185.000,00;185.000,00;0.00;Apartamento, 90.59 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707752756
 8555524524338 ;SP ;AMERICANA ;CARIOBA ;RUA SAO GONÇALO, N. 40, Apto 3, BL D ;268.000,00;268.000,00;0.00;Apartamento, 65.04 de área total, 55.12 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555524524338
 8444410009556 ;SP ;AMERICANA ;BRIEDS ;RUA TIMBIRAS, N. 400, Apto 03, BL 07 ;214.394,17;214.394,17;0.00;Apartamento, 65.91 de área total, 60.95 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410009556
 8555536021760 ;SP ;AMERICANA ;VILA AMORIM ;AVENIDA PADRE OSWALDO VIEIRA DE ANDRADE, N. 1185, Apto 108, BL 22 ;228.000,00;228.000,00;0.00;Apartamento, 84.98 de área total, 42.88 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536021760
 8787709827400 ;SP ;AMERICANA ;JARDIM BOER I ;RUA SABEDORIA, N. 130, Apto 04, BL 3 ;193.000,00;193.000,00;0.00;Apartamento, 0.00 de área total, 45.16 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709827400
 8555539186611 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 303, ;189.000,00;189.000,00;0.00;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539186611
 8787713446122 ;SP ;AMERICANA ;JARDIM SÃO LUIZ ;RUA SABEDORIA, N. 130, Apto 14, BL 06 ;188.408,63;185.000,00;0.00;Apartamento, 94.20 de área total, 44.87 de área privativa, 0.00 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713446122
 8444424033381 ;SP ;AMERICANA ;FAZ SAO DOMINGOS ;AVENIDA SAO JERONIMO, N. 2750, Apto 407, BL 4 ;170.186,64;165.000,00;0.00;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424033381
 10167291 ;SP ;AMERICO BRASILIENSE ;JARDIM SAO JOSE ;AVENIDA JULIO CORREIA ARRUDA, N. 512, LT 3, QD 41 ;211.755,84;578.000,00;63.37;Comercial, 0.00 de área total, 252.34 de área privativa, 312.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10167291
 10006050 ;SP ;AMERICO BRASILIENSE ;Americo Brasiliense ;RUA DAS RESEDAS, N. S/N, QD 02 LT 10 (JARDIM DAS PRIMAVERAS) ;122.500,00;122.500,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 275.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006050
 8444411035909 ;SP ;AMPARO ;JARDIM SILMARA ;RUA EUGENIO DORIGAN, N. 104, LT 28 QD L ;206.489,83;324.000,00;36.27;Casa, 0.00 de área total, 81.68 de área privativa, 180.00 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411035909
 1444419743602 ;SP ;AMPARO ;MARTIRIO ;ESTRADA MUNICIPAL SANTINO FERRAZ, N. SN, LT 01, GLEBA B ;200.116,69;314.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 357.48 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419743602
 8555535871646 ;SP ;ANDRADINA ;JARDIM BANDEIRANTES ;RUA PROJETADA K, N. 184, LT 34, QD 20 ;96.681,43;148.000,00;34.68;Casa, 43.42 de área total, 43.42 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535871646
 10142672 ;SP ;ANGATUBA ;CENTRO ;RUA CORNELIO VIEIRA DE MORAES, N. 368 ;1.053.104,10;435.000,00;0.00;Galpão, 0.00 de área total, 115.00 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10142672
 8555534156315 ;SP ;ARACATUBA ;CHACARAS ARCOIRIS ;RUA JOSE FELICIANO PEREIRA, N. 91, LT 08 QD 18 ;69.657,58;130.000,00;46.42;Casa, 0.00 de área total, 60.00 de área privativa, 126.13 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534156315
 8787712985585 ;SP ;ARACATUBA ;RESIDENCIAL LUANA ;RUA FELIPE FERNANDES (ANTIGA RUA NOVE), N. 251, QD I, LT 02 ;69.657,58;130.000,00;46.42;Casa, 0.00 de área total, 44.82 de área privativa, 140.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712985585
 8787707435335 ;SP ;ARACATUBA ;JARDIM PAULISTA ;RUA GOULART, N. 399, Apto 403, BL 04 PV 4 VG 293 ;85.653,23;154.000,00;44.39;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707435335
 8787711498532 ;SP ;ARACATUBA ;RES AIMORE ;RUA DEZESSEIS, N. 258, LT 09 QD C2 ;73.422,86;130.000,00;43.53;Casa, 0.00 de área total, 43.92 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711498532
 8787711682201 ;SP ;ARACATUBA ;RES AIMORE ; RUA DEZOITO, N. 402, LT 19 QD G2 ;79.915,69;140.000,00;42.92;Casa, 0.00 de área total, 43.92 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711682201
 8787710120285 ;SP ;ARACATUBA ;SAO JOSE ;AVENIDA AGUA FUNDA, N. 1097, LT 02, QD B ;80.486,52;141.000,00;42.92;Casa, 0.00 de área total, 44.82 de área privativa, 141.34 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710120285
 8787711581847 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL MAO DIVINA ;RUA DEZOITO, N. 306, LT 07 QD G2 ;80.600,69;141.200,00;42.92;Casa, 0.00 de área total, 54.36 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711581847
 8787710698252 ;SP ;ARACATUBA ;ARAÇATUBA ; RUA NOVE, N. 50, LT 15, QD B ;71.301,07;124.384,07;42.68;Casa, 44.82 de área total, 44.82 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710698252
 8787712024704 ;SP ;ARACATUBA ;RESIDENCIAL LUANA ; RUA SARGENTO PM ÉVERTON COSTA ZONZINI, N. 89, ANTIGA RUA OITO ;71.080,90;124.000,00;42.68;Casa, 44.82 de área total, 44.82 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712024704
 8787705126424 ;SP ;ARACATUBA ;CJ HAB DR ANTONIO ;R ANTONIO DOS SANTOS RIBEIRO, N. 300, Apto 401, BL 05 VG 413 ;74.726,23;129.000,00;42.08;Apartamento, 0.00 de área total, 43.99 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705126424
 8787708458355 ;SP ;ARACATUBA ;RESID AIMORE ;RUA 18, N. 79, QD D2 ;75.305,50;130.000,00;42.08;Casa, 0.00 de área total, 43.92 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708458355
